0.000000000000000000e+00 0.000000000000000000e+00 5.221014837435623557e-01
0.000000000000000000e+00 5.000000000000000000e-01 5.945885929105559908e-01
0.000000000000000000e+00 1.000000000000000000e+00 6.296766473356746330e-01
2.500000000000000000e-01 0.000000000000000000e+00 5.529280936161047322e-01
2.500000000000000000e-01 5.000000000000000000e-01 7.525810571925851677e-01
2.500000000000000000e-01 1.000000000000000000e+00 1.079638059810820172e-01
5.000000000000000000e-01 0.000000000000000000e+00 8.324946460627747902e-01
5.000000000000000000e-01 5.000000000000000000e-01 7.703592547643778321e-02
5.000000000000000000e-01 1.000000000000000000e+00 4.430835916498945259e-01
7.500000000000000000e-01 0.000000000000000000e+00 5.917437973620605085e-01
7.500000000000000000e-01 5.000000000000000000e-01 6.243897182194899642e-01
7.500000000000000000e-01 1.000000000000000000e+00 3.805019848977149177e-01
1.000000000000000000e+00 0.000000000000000000e+00 2.979846195537757536e-01
1.000000000000000000e+00 5.000000000000000000e-01 7.676412834051966616e-01
1.000000000000000000e+00 1.000000000000000000e+00 2.278574250229947751e-01
